"","SRR19241977","SRR19241978","SRR19241979","SRR19241980","SRR19241981","SRR19241982","SRR19241983","SRR19241984"
"tRF-16-026ZEDD",3.04,20.5,7.02,0,17.67,31.19,9.13,15.57
"tRF-16-078SUXD",0,0,0,0,0,4.46,0,0
"tRF-16-07QSNHD",9.12,10.25,7.02,6.43,13.25,13.37,0,3.89
"tRF-16-08F4BDD",24.33,112.75,28.08,51.42,97.16,138.14,100.48,179.06
"tRF-16-08P2B5D",0,0,0,0,0,0,0,3.89
"tRF-16-08P2F5D",27.37,20.5,52.65,32.14,39.75,57.93,4.57,15.57
"tRF-16-08Q2B5D",991.45,702.12,687.91,893.42,1121.74,1087.31,803.83,759.04
"tRF-16-08R959D",3.04,5.12,7.02,0,0,4.46,4.57,11.68
"tRF-16-08R9D9D",0,0,0,6.43,0,0,0,0
"tRF-16-0DFKN50",3.04,0,0,0,0,0,0,0
"tRF-16-0HJBRRE",0,0,0,0,0,0,4.57,0
"tRF-16-0HLBRRD",0,0,0,0,0,0,4.57,0
"tRF-16-0P5830E",36.5,25.62,42.12,25.71,8.83,31.19,31.97,3.89
"tRF-16-0RSSX7D",9.12,0,0,0,0,0,4.57,0
"tRF-16-0RYNURD",9.12,0,0,6.43,0,0,0,3.89
"tRF-16-0UQ2B5D",3.04,5.12,0,6.43,4.42,4.46,0,7.79
"tRF-16-0VL8K80",0,15.37,0,6.43,26.5,13.37,9.13,7.79
"tRF-16-113KYUE",0,5.12,0,0,0,0,0,0
"tRF-16-1293WEE",15.21,10.25,10.53,12.85,4.42,17.82,9.13,11.68
"tRF-16-12Z4R90",9.12,5.12,3.51,0,0,0,4.57,7.79
"tRF-16-13QXQWE",0,0,0,0,4.42,8.91,4.57,0
"tRF-16-14PSR90",0,0,0,0,4.42,0,0,0
"tRF-16-18VUY90",3.04,5.12,0,0,0,0,0,0
"tRF-16-195RWI0",3.04,0,0,0,0,0,0,0
"tRF-16-199M88B",0,0,0,0,0,4.46,4.57,0
"tRF-16-1EWJQ7D",3.04,30.75,3.51,6.43,44.16,53.47,50.24,27.25
"tRF-16-1IUUK7E",0,5.12,0,0,0,0,0,0
"tRF-16-1KWH19B",6.08,0,0,0,0,0,0,0
"tRF-16-1MK8YUB",0,0,0,0,0,0,4.57,0
"tRF-16-1MN0YUB",0,0,3.51,0,0,0,0,0
"tRF-16-1QKS3WD",3.04,20.5,14.04,0,0,4.46,0,0
"tRF-16-1RMF5E0",3.04,5.12,0,0,0,0,0,0
"tRF-16-1SS2PMB",3.04,0,0,0,0,0,0,3.89
"tRF-16-245J7KE",24.33,30.75,31.59,19.28,4.42,26.74,9.13,19.46
"tRF-16-2ERPFVE",3.04,0,0,0,0,0,0,0
"tRF-16-2KWHR90",0,5.12,7.02,6.43,0,0,0,0
"tRF-16-2QW18FD",0,0,0,0,0,0,0,3.89
"tRF-16-2R14PS0",0,0,0,0,0,0,0,3.89
"tRF-16-2VR0080",0,5.12,0,0,13.25,8.91,9.13,7.79
"tRF-16-2WW18FD",0,0,0,0,0,0,0,3.89
"tRF-16-325UB1E",0,5.12,0,0,4.42,4.46,4.57,0
"tRF-16-34L2H1B",9.12,35.87,7.02,0,44.16,26.74,9.13,15.57
"tRF-16-3B1NR8E",0,5.12,0,19.28,0,4.46,4.57,0
"tRF-16-3JVIJM0",0,0,0,0,0,4.46,0,3.89
"tRF-16-3JW261B",0,0,0,12.85,22.08,13.37,18.27,23.36
"tRF-16-3JWB61B",18.25,46.12,10.53,51.42,105.99,66.84,86.78,97.31
"tRF-16-3KJBP1B",12.17,15.37,14.04,0,22.08,0,0,15.57
"tRF-16-3KMB01B",82.11,82,150.92,51.42,101.58,142.6,63.94,120.67
"tRF-16-3KXR3RB",27.37,220.37,31.59,147.83,242.9,182.7,82.21,101.21
"tRF-16-3VL8W1B",0,5.12,0,12.85,22.08,8.91,22.84,7.79
"tRF-16-3VLIE1B",9.12,46.12,3.51,32.14,26.5,35.65,18.27,23.36
"tRF-16-3VMKNRB",9.12,30.75,17.55,51.42,22.08,13.37,4.57,31.14
"tRF-16-3VWIQ1B",3.04,0,0,0,13.25,0,0,0
"tRF-16-3WMIE1B",0,0,0,0,4.42,0,0,0
"tRF-16-409Z7KE",3.04,0,0,0,0,0,0,0
"tRF-16-40KK5YE",6.08,0,3.51,0,0,4.46,0,0
"tRF-16-489B3RB",106.44,189.62,45.63,147.83,189.9,187.16,114.18,97.31
"tRF-16-4P64R90",3.04,10.25,3.51,0,8.83,4.46,9.13,0
"tRF-16-4RRWRBD",0,0,3.51,0,0,0,0,0
"tRF-16-4S14IZD",0,5.12,0,0,0,0,0,0
"tRF-16-4YMY910",0,0,3.51,0,0,0,0,0
"tRF-16-4ZUPX1B",0,10.25,0,19.28,17.67,17.82,0,23.36
"tRF-16-50SJRED",0,5.12,7.02,6.43,0,0,0,0
"tRF-16-50SRRND",0,10.25,0,6.43,8.83,4.46,9.13,0
"tRF-16-51MLHVB",0,10.25,0,0,17.67,4.46,0,0
"tRF-16-54QFQ2B",3.04,0,0,0,0,0,0,0
"tRF-16-54RNZF0",3.04,0,0,0,0,0,9.13,3.89
"tRF-16-587SI7D",0,0,0,0,0,4.46,4.57,7.79
"tRF-16-596VW6D",0,10.25,0,0,0,0,0,0
"tRF-16-5DMKYUE",0,5.12,0,0,0,4.46,0,0
"tRF-16-5JYH0RE",0,5.12,0,0,0,0,0,0
"tRF-16-5L8RPYE",0,0,0,0,4.42,0,0,3.89
"tRF-16-5P7JE20",0,0,0,0,0,0,4.57,3.89
"tRF-16-5RM3Y8D",0,0,3.51,0,0,0,0,0
