"","X.miRNA","precursor","SRR19241977","SRR19241978","SRR19241979","SRR19241980","SRR19241981","SRR19241982","SRR19241983","SRR19241984"
"4","hsa-let-7a-2-3p","hsa-let-7a-2","0","0","0","0","0","1","0","0"
"7","hsa-let-7b-5p","hsa-let-7b","14","4","9","1","3","0","6","4"
"8","hsa-let-7b-3p","hsa-let-7b","0","0","0","0","0","0","0","0"
"9","hsa-let-7c-5p","hsa-let-7c","504","104","516","101","467","964","106","164"
"10","hsa-let-7c-3p","hsa-let-7c","0","0","2","0","5","7","0","1"
"11","hsa-let-7d-5p","hsa-let-7d","5","7","10","2","3","11","0","5"
"12","hsa-let-7d-3p","hsa-let-7d","1","2","3","1","2","2","1","4"
"13","hsa-let-7e-5p","hsa-let-7e","712","364","709","334","1010","975","558","792"
"14","hsa-let-7e-3p","hsa-let-7e","7","7","8","3","13","16","8","11"
"16","hsa-let-7f-1-3p","hsa-let-7f-1","0","0","0","0","0","0","0","0"
"18","hsa-let-7f-2-3p","hsa-let-7f-2","1","0","0","0","0","1","0","0"
"19","hsa-let-7g-5p","hsa-let-7g","259","155","285","127","372","638","209","330"
"20","hsa-let-7g-3p","hsa-let-7g","0","0","0","0","0","0","0","0"
"21","hsa-let-7i-5p","hsa-let-7i","99","76","108","53","169","543","160","183"
"22","hsa-let-7i-3p","hsa-let-7i","0","0","0","1","1","0","0","0"
"24","hsa-miR-1-5p","hsa-mir-1-1","0","0","0","0","0","0","0","0"
"26","hsa-miR-100-5p","hsa-mir-100","1920","391","1744","453","1999","11837","291","362"
"27","hsa-miR-100-3p","hsa-mir-100","0","0","0","0","0","2","0","0"
"28","hsa-miR-101-5p","hsa-mir-101-1","0","0","1","0","0","1","1","0"
"31","hsa-miR-101-2-5p","hsa-mir-101-2","0","0","0","0","0","0","0","0"
"32","hsa-miR-10226","hsa-mir-10226","0","0","0","0","0","0","0","0"
"33","hsa-miR-10392-5p","hsa-mir-10392","0","0","1","0","0","0","0","0"
"34","hsa-miR-10392-3p","hsa-mir-10392","0","0","0","0","0","0","0","0"
"35","hsa-miR-10393-5p","hsa-mir-10393","0","0","0","0","0","0","0","0"
"36","hsa-miR-10393-3p","hsa-mir-10393","0","0","0","0","0","0","0","0"
"37","hsa-miR-10394-5p","hsa-mir-10394","0","0","0","0","0","0","0","1"
"38","hsa-miR-10394-3p","hsa-mir-10394","0","0","0","0","0","0","0","0"
"39","hsa-miR-10395-5p","hsa-mir-10395","0","0","0","0","0","0","0","0"
"40","hsa-miR-10395-3p","hsa-mir-10395","2","11","2","4","10","11","7","10"
"41","hsa-miR-10396a-5p","hsa-mir-10396a","1","0","1","0","0","0","0","0"
"42","hsa-miR-10396a-3p","hsa-mir-10396a","0","0","0","0","0","0","0","0"
"43","hsa-miR-10396b-5p","hsa-mir-10396b","1","0","1","0","0","1","0","0"
"44","hsa-miR-10396b-3p","hsa-mir-10396b","4","1","2","1","1","1","0","0"
"45","hsa-miR-10397-5p","hsa-mir-10397","0","0","0","0","0","0","0","0"
"46","hsa-miR-10397-3p","hsa-mir-10397","0","0","0","0","0","0","0","0"
"47","hsa-miR-10398-5p","hsa-mir-10398","0","0","0","0","0","0","0","0"
"48","hsa-miR-10398-3p","hsa-mir-10398","0","0","0","0","0","0","0","0"
"49","hsa-miR-10399-5p","hsa-mir-10399","0","0","0","0","0","0","0","0"
"50","hsa-miR-10399-3p","hsa-mir-10399","0","0","0","0","0","0","0","0"
"52","hsa-miR-103a-1-5p","hsa-mir-103a-1","0","0","0","0","0","0","0","0"
"53","hsa-miR-103a-2-5p","hsa-mir-103a-2","0","1","5","2","1","0","0","0"
"57","hsa-miR-10400-5p","hsa-mir-10400","0","0","1","0","0","0","0","0"
"58","hsa-miR-10400-3p","hsa-mir-10400","0","0","0","0","0","0","0","0"
"59","hsa-miR-10401-5p","hsa-mir-10401","0","0","0","0","0","0","0","1"
"60","hsa-miR-10401-3p","hsa-mir-10401","1","1","0","1","2","3","0","2"
"65","hsa-miR-10522-5p","hsa-mir-10522","7","7","12","2","0","2","1","7"
"66","hsa-miR-10523-5p","hsa-mir-10523","0","0","0","0","0","0","0","0"
"67","hsa-miR-10524-5p","hsa-mir-10524","0","0","0","0","0","0","0","0"
"68","hsa-miR-10525-3p","hsa-mir-10525","0","0","0","0","0","0","0","0"
"69","hsa-miR-10526-3p","hsa-mir-10526","0","0","0","0","0","0","0","0"
"70","hsa-miR-10527-5p","hsa-mir-10527","4","1","7","2","5","4","1","3"
