"","X.miRNA","precursor","SRR5256874_5","SRR5256876","SRR5256877_8","SRR5256879","SRR5256880_1","SRR5256882_3"
"1","hsa-let-7a-5p","hsa-let-7a-1",245.77,315.2,221.64,221.23,186.5,120.7
"2","hsa-let-7a-3p","hsa-let-7a-1",0,0,0,0,0,0
"3","hsa-let-7a-5p","hsa-let-7a-2",245.41,314.57,222.62,220.97,185.13,120.42
"4","hsa-let-7a-2-3p","hsa-let-7a-2",0,0,0,0,0,0
"5","hsa-let-7a-5p","hsa-let-7a-3",246.84,315.2,222.95,220.7,186.05,120.42
"6","hsa-let-7a-3p","hsa-let-7a-3",0,0,0,0,0,0
"7","hsa-let-7b-5p","hsa-let-7b",0.54,0,3.85,0.79,0,2.5
"8","hsa-let-7b-3p","hsa-let-7b",0,0,0,0,0,0
"9","hsa-let-7c-5p","hsa-let-7c",65.99,76.28,12.52,42.4,35.11,4.73
"10","hsa-let-7c-3p","hsa-let-7c",0,0,0,0,0,0
"11","hsa-let-7d-5p","hsa-let-7d",2.32,2.52,0.41,1.84,0.46,1.11
"12","hsa-let-7d-3p","hsa-let-7d",1.07,0.63,0,0.26,0.46,0.28
"13","hsa-let-7e-5p","hsa-let-7e",734.64,921.65,566.29,656.05,550.84,291.18
"14","hsa-let-7e-3p","hsa-let-7e",1.07,0,0,0.53,0,0.28
"15","hsa-let-7f-5p","hsa-let-7f-1",243.63,332.22,193.4,286.55,245.78,126.54
"16","hsa-let-7f-1-3p","hsa-let-7f-1",0,0,0,0,0,0
"17","hsa-let-7f-5p","hsa-let-7f-2",262.18,355.55,206.66,304.46,263.57,132.66
"18","hsa-let-7f-2-3p","hsa-let-7f-2",0,0,0,0,0,0
"19","hsa-let-7g-5p","hsa-let-7g",21.05,22.06,13.42,16.86,17.78,4.17
"20","hsa-let-7g-3p","hsa-let-7g",0,0,0,0,0,0
"21","hsa-let-7i-5p","hsa-let-7i",10.7,13.87,11.13,15.01,9.58,9.73
"22","hsa-let-7i-3p","hsa-let-7i",0,0,0,0,0,0
"23","hsa-miR-1-3p","hsa-mir-1-1",0.89,0.63,1.15,0.53,0,1.39
"24","hsa-miR-1-5p","hsa-mir-1-1",0,0,0,0,0,0
"25","hsa-miR-1-3p","hsa-mir-1-2",0.89,0.63,1.15,0.53,0,1.39
"26","hsa-miR-100-5p","hsa-mir-100",43.7,49.8,25.37,23.7,15.5,4.45
"27","hsa-miR-100-3p","hsa-mir-100",0.54,0.63,0,0,0,0.28
"28","hsa-miR-101-5p","hsa-mir-101-1",0.54,0,0,1.05,2.28,0.56
"29","hsa-miR-101-3p","hsa-mir-101-1",392.2,506.22,313.55,626.82,428.64,232.77
"30","hsa-miR-101-3p","hsa-mir-101-2",399.33,512.52,321.32,639.46,437.76,236.95
"31","hsa-miR-101-2-5p","hsa-mir-101-2",0,0,0,0,0,0
"32","hsa-miR-10226","hsa-mir-10226",0.36,0.63,1.15,0,0.46,0.28
"33","hsa-miR-10392-5p","hsa-mir-10392",0.18,1.26,0,0,0,0
"34","hsa-miR-10392-3p","hsa-mir-10392",0,0,0,0,0,0
"35","hsa-miR-10393-5p","hsa-mir-10393",0,0,0,0,0,0
"36","hsa-miR-10393-3p","hsa-mir-10393",0,0,0,0,0,0
"37","hsa-miR-10394-5p","hsa-mir-10394",0,0,0,0,0.46,0
"38","hsa-miR-10394-3p","hsa-mir-10394",0,2.52,0,0,0,0
"39","hsa-miR-10395-5p","hsa-mir-10395",0,0,0,0,0,0
"40","hsa-miR-10395-3p","hsa-mir-10395",39.59,44.13,66.05,37.66,41.5,64.52
"41","hsa-miR-10396a-5p","hsa-mir-10396a",0.54,0.63,0.98,0,0,0
"42","hsa-miR-10396a-3p","hsa-mir-10396a",0,0.63,0.25,0,0,0
"43","hsa-miR-10396b-5p","hsa-mir-10396b",0.54,0.63,1.23,0,0,0
"44","hsa-miR-10396b-3p","hsa-mir-10396b",4.99,1.26,2.7,2.37,0.46,0.56
"45","hsa-miR-10397-5p","hsa-mir-10397",0,0,0,0,0,0
"46","hsa-miR-10397-3p","hsa-mir-10397",0,0,0.25,0,0,0
"47","hsa-miR-10398-5p","hsa-mir-10398",0,0,0,0,0,0
"48","hsa-miR-10398-3p","hsa-mir-10398",0,0,0,0,0,0
"49","hsa-miR-10399-5p","hsa-mir-10399",0,0,0,0,0,0
"50","hsa-miR-10399-3p","hsa-mir-10399",0,0,0,0,0,0
"51","hsa-miR-103a-3p","hsa-mir-103a-1",8923.74,11071.18,5938.52,9359.37,8587.8,4763.95
"52","hsa-miR-103a-1-5p","hsa-mir-103a-1",0,0.63,0.98,0.79,0,0
"53","hsa-miR-103a-2-5p","hsa-mir-103a-2",1.61,1.26,2.54,1.32,2.28,1.67
