"","X.miRNA","precursor","SRR19241977","SRR19241978","SRR19241979","SRR19241980","SRR19241981","SRR19241982","SRR19241983","SRR19241984"
"1","hsa-let-7a-5p","hsa-let-7a-1",292.79,236.47,363.38,303.86,194.97,556.91,266.65,280.82
"2","hsa-let-7a-3p","hsa-let-7a-1",1.4,0,1.6,1.39,1.31,1.2,2,2.99
"3","hsa-let-7a-5p","hsa-let-7a-2",292.32,236.47,363.38,303.86,194.97,556.91,266.65,281.57
"4","hsa-let-7a-2-3p","hsa-let-7a-2",0,0,0,0,0,0.6,0,0
"5","hsa-let-7a-5p","hsa-let-7a-3",294.66,236.47,366.05,303.86,195.62,556.91,267.66,282.31
"6","hsa-let-7a-3p","hsa-let-7a-3",1.4,0,1.6,1.39,1.31,1.2,2,2.99
"7","hsa-let-7b-5p","hsa-let-7b",6.55,3.75,4.81,1.39,1.96,0,6.01,2.99
"8","hsa-let-7b-3p","hsa-let-7b",0,0,0,0,0,0,0,0
"9","hsa-let-7c-5p","hsa-let-7c",235.72,97.59,275.74,140.78,305.54,579.77,106.26,122.49
"10","hsa-let-7c-3p","hsa-let-7c",0,0,1.07,0,3.27,4.21,0,0.75
"11","hsa-let-7d-5p","hsa-let-7d",2.34,6.57,5.34,2.79,1.96,6.62,0,3.73
"12","hsa-let-7d-3p","hsa-let-7d",0.47,1.88,1.6,1.39,1.31,1.2,1,2.99
"13","hsa-let-7e-5p","hsa-let-7e",333.01,341.56,378.88,465.54,660.8,586.38,559.37,591.51
"14","hsa-let-7e-3p","hsa-let-7e",3.27,6.57,4.28,4.18,8.51,9.62,8.02,8.22
"15","hsa-let-7f-5p","hsa-let-7f-1",302.61,315.29,323.3,337.31,436.39,428.81,440.08,467.54
"16","hsa-let-7f-1-3p","hsa-let-7f-1",0,0,0,0,0,0,0,0
"17","hsa-let-7f-5p","hsa-let-7f-2",318.98,332.18,340.93,358.22,447.51,445.05,460.13,484.71
"18","hsa-let-7f-2-3p","hsa-let-7f-2",0.47,0,0,0,0,0.6,0,0
"19","hsa-let-7g-5p","hsa-let-7g",121.14,145.45,152.3,177.02,243.38,383.7,209.51,246.46
"20","hsa-let-7g-3p","hsa-let-7g",0,0,0,0,0,0,0,0
"21","hsa-let-7i-5p","hsa-let-7i",46.3,71.32,57.71,73.87,110.57,326.57,160.39,136.68
"22","hsa-let-7i-3p","hsa-let-7i",0,0,0,1.39,0.65,0,0,0
"23","hsa-miR-1-3p","hsa-mir-1-1",2537.78,2216.41,2872.82,1846.84,1525.72,1044.66,1655.05,1488.5
"24","hsa-miR-1-5p","hsa-mir-1-1",0,0,0,0,0,0,0,0
"25","hsa-miR-1-3p","hsa-mir-1-2",2580.34,2260.51,2917.18,1883.08,1551.89,1059.7,1681.12,1510.16
"26","hsa-miR-100-5p","hsa-mir-100",898,366.9,931.96,631.41,1307.85,7118.97,291.71,270.36
"27","hsa-miR-100-3p","hsa-mir-100",0,0,0,0,0,1.2,0,0
"28","hsa-miR-101-5p","hsa-mir-101-1",0,0,0.53,0,0,0.6,1,0
"29","hsa-miR-101-3p","hsa-mir-101-1",689.4,652.16,763.09,529.66,482.18,429.41,611.5,598.98
"30","hsa-miR-101-3p","hsa-mir-101-2",699.69,660.61,771.64,538.02,488.73,435.43,622.53,610.93
"31","hsa-miR-101-2-5p","hsa-mir-101-2",0,0,0,0,0,0,0,0
"32","hsa-miR-10226","hsa-mir-10226",0,0,0,0,0,0,0,0
"33","hsa-miR-10392-5p","hsa-mir-10392",0,0,0.53,0,0,0,0,0
"34","hsa-miR-10392-3p","hsa-mir-10392",0,0,0,0,0,0,0,0
"35","hsa-miR-10393-5p","hsa-mir-10393",0,0,0,0,0,0,0,0
"36","hsa-miR-10393-3p","hsa-mir-10393",0,0,0,0,0,0,0,0
"37","hsa-miR-10394-5p","hsa-mir-10394",0,0,0,0,0,0,0,0.75
"38","hsa-miR-10394-3p","hsa-mir-10394",0,0,0,0,0,0,0,0
"39","hsa-miR-10395-5p","hsa-mir-10395",0,0,0,0,0,0,0,0
"40","hsa-miR-10395-3p","hsa-mir-10395",0.94,10.32,1.07,5.58,6.54,6.62,7.02,7.47
"41","hsa-miR-10396a-5p","hsa-mir-10396a",0.47,0,0.53,0,0,0,0,0
"42","hsa-miR-10396a-3p","hsa-mir-10396a",0,0,0,0,0,0,0,0
