"","logFC","logCPM","LR","PValue","FDR","transcript"
"hsa-miR-9-5p",-3.64062836065219,11.7246384154422,124.301405849102,7.23716481979725e-29,2.80801995008133e-26,"hsa-miR-9-5p"
"hsa-miR-448",-3.83737318636575,6.54684312309409,79.2226407342586,5.54905068095716e-19,1.07651583210569e-16,"hsa-miR-448"
"hsa-miR-143-3p",-3.24268009878471,7.54190817676314,74.5777235077832,5.8297324940357e-18,6.72809812246864e-16,"hsa-miR-143-3p"
"hsa-miR-1298-5p",-3.36540617523243,7.25252018631924,74.2346567041677,6.93618363141096e-18,6.72809812246864e-16,"hsa-miR-1298-5p"
"hsa-miR-3059-5p",-3.30084353618873,5.20849040871501,53.2459026501911,2.94300688151794e-13,2.28377334005792e-11,"hsa-miR-3059-5p"
"hsa-miR-9983-3p",2.11608265986051,8.5554152983796,45.4516671409183,1.56452309135648e-11,1.01172493241053e-09,"hsa-miR-9983-3p"
"hsa-miR-514a-3p",2.63530891352573,6.01529402190175,41.2276170940482,1.35494549121069e-10,7.51026929413923e-09,"hsa-miR-514a-3p"
"hsa-miR-509-3-5p",2.43916059800357,5.40676096642557,35.3087176973358,2.81369783149501e-09,1.36464344827508e-07,"hsa-miR-509-3-5p"
"hsa-miR-181a-3p",-2.29757900629873,6.38576733654374,33.6940967968957,6.44961131195968e-09,2.78049909893373e-07,"hsa-miR-181a-3p"
"hsa-miR-363-3p",-1.73622288361493,12.1402779803568,33.1418489071499,8.56747725534958e-09,3.32418117507564e-07,"hsa-miR-363-3p"
"hsa-miR-21-5p",-1.6847585011275,12.2545848012751,31.3312272781559,2.17552122935505e-08,7.67365669990692e-07,"hsa-miR-21-5p"
"hsa-miR-100-5p",-1.66456045952722,11.1668863998614,30.3575776366336,3.59300612915561e-08,1.16173864842698e-06,"hsa-miR-100-5p"
"hsa-miR-504-5p",-1.62440862529126,11.2337893688226,28.9779035762199,7.32086221045018e-08,2.1849957981959e-06,"hsa-miR-504-5p"
"hsa-miR-9-3p",-1.9409009402042,7.23979725083335,28.615939733574,8.82527139339172e-08,2.44586092902571e-06,"hsa-miR-9-3p"
"hsa-miR-184",-1.99145096574793,5.83879679955479,24.81454976762,6.31192289105385e-07,1.63268405448593e-05,"hsa-miR-184"
