"","logFC","logCPM","LR","PValue","FDR","transcript"
"tRF-50-897PVP9N1QKS3W2VR008",4.5934199449074,6.0439957361651,37.5913977130752,8.72283232345205e-10,1.11477797093717e-06,"tRF-50-897PVP9N1QKS3W2VR008"
"tRF-50-XLB275ZUV0UEDP5IUDK7",-3.46954151871212,5.88132135267768,24.0203546795708,9.53226414238129e-07,0.000609111678698164,"tRF-50-XLB275ZUV0UEDP5IUDK7"
"tRF-50-ROHL7X0OBQJE9UHY0DFK",3.27468232538003,8.09336519921785,22.1637850528754,2.50351884241005e-06,0.00106649902686668,"tRF-50-ROHL7X0OBQJE9UHY0DFK"
"tRF-22-WD8S746D2",3.10476863050803,7.77634976832662,20.8839540863041,4.87965124624155e-06,0.00155904857317418,"tRF-22-WD8S746D2"
"tRF-50-5OD0YIZEF3BLHKFZB1KZ",-2.95528338446378,6.33130492074908,19.8516268955045,8.36914753498253e-06,0.00213915410994153,"tRF-50-5OD0YIZEF3BLHKFZB1KZ"
"tRF-30-3IRW18V6XO59",2.9108320762311,6.8996195110676,19.0902791007276,1.24678317197553e-05,0.00265564815630787,"tRF-30-3IRW18V6XO59"
"tRF-31-MIF91SS2P46ID",2.80390187312645,7.03097891544566,17.9303211777797,2.29141321499437e-05,0.00411012870609803,"tRF-31-MIF91SS2P46ID"
"tRF-43-I3Z9HMI8W47W1R7HX",2.78760587958082,7.03711721537619,17.7098929039085,2.57285052024916e-05,0.00411012870609803,"tRF-43-I3Z9HMI8W47W1R7HX"
"tRF-30-JYSWRYVMMV5B",2.95129531575393,10.0237698376449,17.3318741399249,3.13877729503991e-05,0.00434215244053274,"tRF-30-JYSWRYVMMV5B"
"tRF-50-307EZ6VYDY2EWBOJFZ2D",-2.71544155912537,6.02325789260931,17.181316681519,3.39761536817898e-05,0.00434215244053274,"tRF-50-307EZ6VYDY2EWBOJFZ2D"
"tRF-40-DBNIB9I1KQSX0DIJ",2.71622696765743,6.96126412631298,16.9251359817425,3.88832759450958e-05,0.00447632363048625,"tRF-40-DBNIB9I1KQSX0DIJ"
"tRF-45-JN5XR4NPNNBX1WZ4RZ",2.70247439080021,7.43691248292411,16.7773868712023,4.2031207797993e-05,0.00447632363048625,"tRF-45-JN5XR4NPNNBX1WZ4RZ"
"tRF-42-45LSM1M3WE8SSP6D2",-3.00368874640989,5.39074917812836,16.4401060499995,5.02115574305653e-05,0.00476470358138094,"tRF-42-45LSM1M3WE8SSP6D2"
"tRF-41-9UHY0DFKN5ORNQY1D",-2.63047238790009,5.95056415279981,16.2876448079847,5.44176150290106e-05,0.00476470358138094,"tRF-41-9UHY0DFKN5ORNQY1D"
"tRF-41-RZYQHQ9M739P8WQ0B",3.03409785850832,12.324762052031,16.2359168584163,5.59237509551753e-05,0.00476470358138094,"tRF-41-RZYQHQ9M739P8WQ0B"
"tRF-32-PV94V4SMIFFNJ",2.72154751708824,8.24772370687541,16.0371905264684,6.21103905699544e-05,0.00496106744677511,"tRF-32-PV94V4SMIFFNJ"
"tRF-43-1YIPRVYJ9XEO7N980E",2.57997545835474,6.71682374785438,15.6753007561592,7.51998064855703e-05,0.00565325604050346,"tRF-43-1YIPRVYJ9XEO7N980E"
