"","SRR19241977","SRR19241978","SRR19241979","SRR19241980","SRR19241981","SRR19241982","SRR19241983","SRR19241984"
"tRF-16-026ZEDD",1,4,2,0,4,7,2,4
"tRF-16-078SUXD",0,0,0,0,0,1,0,0
"tRF-16-07QSNHD",3,2,2,1,3,3,0,1
"tRF-16-08F4BDD",8,22,8,8,22,31,22,46
"tRF-16-08P2B5D",0,0,0,0,0,0,0,1
"tRF-16-08P2F5D",9,4,15,5,9,13,1,4
"tRF-16-08Q2B5D",326,137,196,139,254,244,176,195
"tRF-16-08R959D",1,1,2,0,0,1,1,3
"tRF-16-08R9D9D",0,0,0,1,0,0,0,0
"tRF-16-0DFKN50",1,0,0,0,0,0,0,0
"tRF-16-0HJBRRE",0,0,0,0,0,0,1,0
"tRF-16-0HLBRRD",0,0,0,0,0,0,1,0
"tRF-16-0P5830E",12,5,12,4,2,7,7,1
"tRF-16-0RSSX7D",3,0,0,0,0,0,1,0
"tRF-16-0RYNURD",3,0,0,1,0,0,0,1
"tRF-16-0UQ2B5D",1,1,0,1,1,1,0,2
"tRF-16-0VL8K80",0,3,0,1,6,3,2,2
"tRF-16-113KYUE",0,1,0,0,0,0,0,0
"tRF-16-1293WEE",5,2,3,2,1,4,2,3
"tRF-16-12Z4R90",3,1,1,0,0,0,1,2
"tRF-16-13QXQWE",0,0,0,0,1,2,1,0
"tRF-16-14PSR90",0,0,0,0,1,0,0,0
"tRF-16-18VUY90",1,1,0,0,0,0,0,0
"tRF-16-195RWI0",1,0,0,0,0,0,0,0
"tRF-16-199M88B",0,0,0,0,0,1,1,0
"tRF-16-1EWJQ7D",1,6,1,1,10,12,11,7
"tRF-16-1IUUK7E",0,1,0,0,0,0,0,0
"tRF-16-1KWH19B",2,0,0,0,0,0,0,0
"tRF-16-1MK8YUB",0,0,0,0,0,0,1,0
"tRF-16-1MN0YUB",0,0,1,0,0,0,0,0
"tRF-16-1QKS3WD",1,4,4,0,0,1,0,0
"tRF-16-1RMF5E0",1,1,0,0,0,0,0,0
"tRF-16-1SS2PMB",1,0,0,0,0,0,0,1
"tRF-16-245J7KE",8,6,9,3,1,6,2,5
"tRF-16-2ERPFVE",1,0,0,0,0,0,0,0
"tRF-16-2KWHR90",0,1,2,1,0,0,0,0
"tRF-16-2QW18FD",0,0,0,0,0,0,0,1
"tRF-16-2R14PS0",0,0,0,0,0,0,0,1
"tRF-16-2VR0080",0,1,0,0,3,2,2,2
"tRF-16-2WW18FD",0,0,0,0,0,0,0,1
"tRF-16-325UB1E",0,1,0,0,1,1,1,0
"tRF-16-34L2H1B",3,7,2,0,10,6,2,4
"tRF-16-3B1NR8E",0,1,0,3,0,1,1,0
"tRF-16-3JVIJM0",0,0,0,0,0,1,0,1
"tRF-16-3JW261B",0,0,0,2,5,3,4,6
"tRF-16-3JWB61B",6,9,3,8,24,15,19,25
"tRF-16-3KJBP1B",4,3,4,0,5,0,0,4
"tRF-16-3KMB01B",27,16,43,8,23,32,14,31
"tRF-16-3KXR3RB",9,43,9,23,55,41,18,26
"tRF-16-3VL8W1B",0,1,0,2,5,2,5,2
"tRF-16-3VLIE1B",3,9,1,5,6,8,4,6
"tRF-16-3VMKNRB",3,6,5,8,5,3,1,8
"tRF-16-3VWIQ1B",1,0,0,0,3,0,0,0
"tRF-16-3WMIE1B",0,0,0,0,1,0,0,0
"tRF-16-409Z7KE",1,0,0,0,0,0,0,0
"tRF-16-40KK5YE",2,0,1,0,0,1,0,0
"tRF-16-489B3RB",35,37,13,23,43,42,25,25
"tRF-16-4P64R90",1,2,1,0,2,1,2,0
"tRF-16-4RRWRBD",0,0,1,0,0,0,0,0
