"","SRR5256874_5","SRR5256876","SRR5256877_8","SRR5256879","SRR5256880_1","SRR5256882_3"
"tRF-16-07QSNHD",4,1,0,0,1,0
"tRF-16-08P2F5D",112,80,89,68,55,20
"tRF-16-08Q2B5D",726,335,458,415,230,66
"tRF-16-0P5830E",7,9,3,7,5,0
"tRF-16-0RSSX7D",11,14,5,2,4,0
"tRF-16-0UFMQKE",0,0,0,0,1,0
"tRF-16-0VL8K80",0,0,0,1,0,0
"tRF-16-12Z4R90",1,0,0,0,1,0
"tRF-16-148V7KE",0,1,0,0,0,0
"tRF-16-16MSRMB",0,0,0,0,1,0
"tRF-16-199M88B",0,0,3,0,0,0
"tRF-16-1EWJQ7D",11,9,9,12,6,5
"tRF-16-1HK24O0",0,0,0,1,0,0
"tRF-16-1KWH19B",0,0,2,1,0,0
"tRF-16-1PW4PU0",0,1,0,1,0,0
"tRF-16-1QKS3WD",10,0,2,11,2,1
"tRF-16-1RXSMM0",0,0,1,0,0,0
"tRF-16-245J7KE",12,7,2,3,4,2
"tRF-16-2E4V9KD",0,0,1,0,0,0
"tRF-16-2EK8E0D",0,3,0,1,0,0
"tRF-16-2ERPFVE",1,0,0,0,0,0
"tRF-16-2J1Y0S0",0,0,5,0,0,0
"tRF-16-2KWHR90",2,2,2,6,1,0
"tRF-16-2MK8J7D",0,0,0,0,1,0
"tRF-16-2QR7F8E",0,0,1,0,0,0
"tRF-16-2VF0S70",1,6,10,5,3,0
"tRF-16-2WI0PR0",1,0,0,0,0,0
"tRF-16-2WW18FD",0,0,1,0,0,0
"tRF-16-30MB01B",0,1,0,0,0,1
"tRF-16-325UB1E",1,0,13,0,0,0
"tRF-16-32VIJM0",0,1,0,3,0,0
"tRF-16-34L2H1B",0,1,8,0,1,2
"tRF-16-3578Q1B",0,0,2,0,0,0
"tRF-16-3JVIJM0",0,0,0,1,0,0
"tRF-16-3JW261B",0,1,0,0,0,0
"tRF-16-3JWB61B",16,5,81,8,4,8
"tRF-16-3K76IRD",0,0,1,0,0,0
"tRF-16-3KJBP1B",10,4,3,5,2,1
"tRF-16-3KMB01B",169,104,219,168,81,47
"tRF-16-3KXR3RB",7,5,11,2,2,0
"tRF-16-3O9EDJ0",0,0,3,0,0,0
"tRF-16-3U7SB7D",0,0,0,3,0,0
"tRF-16-3VL8W1B",3,3,23,2,5,10
"tRF-16-3VLIE1B",4,15,53,15,9,23
"tRF-16-3VMKNRB",3,2,10,3,3,1
"tRF-16-3VWIQ1B",29,20,77,21,12,26
"tRF-16-3WMIE1B",0,1,0,0,1,0
"tRF-16-489B3RB",44,42,239,49,30,47
"tRF-16-4RRWRBD",0,0,4,0,0,0
"tRF-16-4YMY910",2,3,2,4,1,0
"tRF-16-4ZUPX1B",1,0,0,2,0,2
"tRF-16-50SRRND",1,0,0,0,0,0
"tRF-16-587SI7D",0,0,0,0,2,0
"tRF-16-596VW6D",0,0,1,2,0,0
"tRF-16-59RVW6D",0,0,0,1,0,0
"tRF-16-5DMKYUE",2,0,0,0,0,0
"tRF-16-5L8RPYE",5,6,1,5,3,2
"tRF-16-5PFQJDE",0,1,0,0,0,1
"tRF-16-5R3LMJD",0,0,1,0,0,0
"tRF-16-5RM3Y8D",0,0,0,0,0,2
"tRF-16-5RYKWI0",0,0,2,0,1,0
"tRF-16-628YR90",2,0,0,0,0,1
"tRF-16-64VIJ40",0,0,0,2,0,0
"tRF-16-6HFVQ8B",7,0,0,3,1,0
"tRF-16-6NMH49B",6,7,7,2,8,0
"tRF-16-6XQ6S8E",0,0,0,0,1,0
"tRF-16-70VR31E",2,2,3,1,0,0
"tRF-16-739P8W0",2,0,0,2,0,0
"tRF-16-73FJP4D",0,0,0,3,0,0
"tRF-16-73FJQ4D",8,7,0,1,1,0
"tRF-16-73IEWSD",2,0,0,0,0,0
"tRF-16-7678V0D",0,0,0,0,1,0
"tRF-16-76HRMFD",0,2,2,0,0,0
"tRF-16-79KVPKE",0,0,0,1,0,0
"tRF-16-79MP9PD",3,1,8,1,3,3
"tRF-16-7O6W9DE",1,0,0,0,0,0
"tRF-16-7P596VE",6,5,15,4,5,8
"tRF-16-7PU9XWE",3,1,4,3,3,7
"tRF-16-7SBRMR0",0,1,0,0,0,0
"tRF-16-7SDRNSE",0,0,0,1,0,0
"tRF-16-7SERM4E",0,0,0,4,1,0
"tRF-16-7SHRMFE",0,1,0,0,0,0
"tRF-16-7SI7JPE",3,0,0,0,0,0
"tRF-16-7SIR690",0,0,1,0,0,0
"tRF-16-7SIRMJ0",1,0,0,0,0,0
"tRF-16-7Z2R1H0",1,0,0,0,0,0
"tRF-16-81JJ6R0",2,2,1,4,3,2
"tRF-16-86S2P9D",0,0,3,0,0,0
"tRF-16-88481DD",10,6,14,2,4,0
"tRF-16-884U1DD",83,40,195,48,33,30
"tRF-16-8871K9D",14,5,16,4,0,1
"tRF-16-89Q867D",1,2,0,0,0,1
"tRF-16-8B8SOU0",0,0,2,0,0,0
"tRF-16-8P8NWE0",0,0,5,0,0,0
"tRF-16-8PW7W20",1,0,6,1,0,0
"tRF-16-8R6546D",4,0,9,5,0,0
"tRF-16-8RPFR90",0,0,3,0,0,0
"tRF-16-8RPY8HD",2,1,0,0,0,0
"tRF-16-8RQFR90",0,0,8,0,0,0
"tRF-16-8S68L5D",114,134,88,146,98,21
"tRF-16-8SPOL5D",7,2,1,4,0,2
"tRF-16-8SSQ6DD",0,0,0,0,0,1
"tRF-16-8Y3DUVD",1,0,6,1,2,0
"tRF-16-945NB2D",0,1,0,0,0,0
"tRF-16-94V4SMB",0,0,2,0,0,0
"tRF-16-9D5HLY0",0,0,0,2,0,0
"tRF-16-9EDJSYB",12,10,2,7,6,0
"tRF-16-9HJHOJ0",0,0,0,1,0,0
"tRF-16-9L5HJVE",8,5,0,3,0,1
"tRF-16-9L5HLVE",0,0,0,1,0,0
"tRF-16-9L5HMVE",5,3,0,4,1,0
"tRF-16-9LQHWUD",1,0,0,0,0,0
"tRF-16-9MH57SD",2,0,0,0,0,2
"tRF-16-9MV4S4B",0,0,4,1,0,0
"tRF-16-9N1EWJ0",8,7,7,3,4,0
"tRF-16-9NDJ78B",0,0,0,2,0,0
"tRF-16-9NH5SYD",0,1,4,0,0,0
"tRF-16-9PMNH50",0,0,2,0,0,0
"tRF-16-9PW4PU0",1,0,3,6,0,1
"tRF-16-9Q53K80",1,0,0,0,0,0
"tRF-16-9Q5JK80",0,0,0,1,0,0
"tRF-16-9RQ4R90",0,0,0,0,0,1
"tRF-16-B4ZPEKD",0,0,0,0,1,0
"tRF-16-BK87R90",0,0,4,0,0,0
"tRF-16-BK8RR90",0,0,3,0,0,0
"tRF-16-BKZ3R90",0,0,5,1,0,0
"tRF-16-BM32LJD",0,0,16,3,0,1
